#separator:tab
#html:true
～か<ruby><rb>月</rb><rt>げつ</rt></ruby>	"～か<ruby><rb>月</rb><rt>げつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～かげつ<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) period of months</span>

<hr>

2か<ruby><rb>月</rb><rt>げつ</rt></ruby><ruby><rb>前</rb><rt>まえ</rt></ruby>に<ruby><rb>日本</rb><rt>にほん</rt></ruby>に<ruby><rb>来</rb><rt>き</rt></ruby>ました。<br>
I came to Japan 2 months ago.


<br><br>

Note: also written as ～ヵ月、～ヶ月、～カ月、～ケ月
"
<ruby><rb>仕事</rb><rt>しごと</rt></ruby>	"<ruby><rb>仕事</rb><rt>しごと</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

しごと<br>
<span style=""color:turquoise"">(<strong>n,vs,adj-no</strong>) work; job; business</span>

<hr>

<ruby><rb>明日</rb><rt>あした</rt></ruby>お<ruby><rb>仕事</rb><rt>しごと</rt></ruby>ですか？<br>
Is tomorrow work?

"
<ruby><rb>他</rb><rt>ほか</rt></ruby>	"<ruby><rb>他</rb><rt>ほか</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ほか<br>
<span style=""color:turquoise"">(<strong>n,adj-no,n-adv</strong>) other (place, thing, person)</span>

<hr>

<ruby><rb>他</rb><rt>ほか</rt></ruby>のまくらはないですか？<br>
Is there any other pillow?

"
<ruby><rb>休</rb><rt>やす</rt></ruby>み	"<ruby><rb>休</rb><rt>やす</rt></ruby>み

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

やすみ<br>
<span style=""color:turquoise"">(<strong>n</strong>) rest | vacation; holiday</span>

<hr>

<ruby><rb>土曜日</rb><rt>どようび</rt></ruby>と<ruby><rb>日曜日</rb><rt>にちようび</rt></ruby>は<ruby><rb>休</rb><rt>やす</rt></ruby>みです。<br>
Saturday and Sunday are holidays.

"
<ruby><rb>休</rb><rt>やす</rt></ruby>む	"<ruby><rb>休</rb><rt>やす</rt></ruby>む

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

やすむ<br>
<span style=""color:turquoise"">(<strong>v5m,vi</strong>) to take a day off | to rest; to have a break</span>

<hr>

<ruby><rb>金曜日</rb><rt>きんようび</rt></ruby>に<ruby><rb>休</rb><rt>やす</rt></ruby>みます。<br>
I will be off on Friday.

"
<ruby><rb>会</rb><rt>あ</rt></ruby>う	"<ruby><rb>会</rb><rt>あ</rt></ruby>う

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あう<br>
<span style=""color:turquoise"">(<strong>v5u,vi</strong>) to meet</span>

<hr>

また<ruby><rb>会</rb><rt>あ</rt></ruby>おうね！<br>
Let's meet again!

"
<ruby><rb>会社</rb><rt>かいしゃ</rt></ruby>	"<ruby><rb>会社</rb><rt>かいしゃ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

かいしゃ<br>
<span style=""color:turquoise"">(<strong>n</strong>) company</span>

<hr>

<ruby><rb>会社</rb><rt>かいしゃ</rt></ruby>で<ruby><rb>働</rb><rt>はたら</rt></ruby>く<br>
To work at a company

"
<ruby><rb>低</rb><rt>ひく</rt></ruby>い	"<ruby><rb>低</rb><rt>ひく</rt></ruby>い

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ひくい<br>
<span style=""color:turquoise"">(<strong>adj-i</strong>) low (rank, volumn, etc.) | short (height); low (position)</span>

<hr>

トムの<ruby><rb>声</rb><rt>こえ</rt></ruby>が<ruby><rb>低</rb><rt>ひく</rt></ruby>い。<br>
Tom's voice is low-pitched.

"
<ruby><rb>住</rb><rt>す</rt></ruby>む	"<ruby><rb>住</rb><rt>す</rt></ruby>む

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

すむ<br>
<span style=""color:turquoise"">(<strong>v5m,vi</strong>) to live; to reside; to inhabit</span>

<hr>

どこに<ruby><rb>住</rb><rt>す</rt></ruby>んでいますか？<br>
Where do you live?

"
<ruby><rb>体</rb><rt>からだ</rt></ruby>	"<ruby><rb>体</rb><rt>からだ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

からだ<br>
<span style=""color:turquoise"">(<strong>n,adj-no</strong>) body</span>

<hr>

タバコは<ruby><rb>体</rb><rt>からだ</rt></ruby>に<ruby><rb>悪</rb><rt>わる</rt></ruby>い。<br>
Smoking is not good for you.

"
<ruby><rb>何</rb><rt>なに、なん</rt></ruby>	"<ruby><rb>何</rb><rt>なに、なん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

なに、なん<br>
<span style=""color:turquoise"">(<strong>pn,adj-no</strong>) what</span>

<hr>

この<ruby><rb>鞄</rb><rt>かばん</rt></ruby>に<ruby><rb>何</rb><rt>なに</rt></ruby>が<ruby><rb>入</rb><rt>はい</rt></ruby>っていますか？<br>
What is in this bag?

"
<ruby><rb>作</rb><rt>つく</rt></ruby>る	"<ruby><rb>作</rb><rt>つく</rt></ruby>る

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

つくる<br>
<span style=""color:turquoise"">(<strong>v5r,vt</strong>) to make; to produce; to manufacture</span>

<hr>

<ruby><rb>晩御飯</rb><rt>ばんごはん</rt></ruby>を<ruby><rb>作</rb><rt>つく</rt></ruby>りましょうか。<br>
Shall I cook dinner?

"
<ruby><rb>作文</rb><rt>さくぶん</rt></ruby>	"<ruby><rb>作文</rb><rt>さくぶん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

さくぶん<br>
<span style=""color:turquoise"">(<strong>n,vs</strong>) writing; composition</span>

<hr>

この<ruby><rb>作文</rb><rt>さくぶん</rt></ruby>には<ruby><rb>誤</rb><rt>あやま</rt></ruby>りが<ruby><rb>少</rb><rt>すこ</rt></ruby>しある。<br>
There are a few mistakes in this composition.

"
<ruby><rb>使</rb><rt>つか</rt></ruby>う	"<ruby><rb>使</rb><rt>つか</rt></ruby>う

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

つかう<br>
<span style=""color:turquoise"">(<strong>v5u,vt</strong>) to use</span>

<hr>

この<ruby><rb>傘</rb><rt>かさ</rt></ruby>を<ruby><rb>使</rb><rt>つか</rt></ruby>ってもいいですか？<br>
May I use this umbrella?

"
<ruby><rb>便利</rb><rt>べんり</rt></ruby>	"<ruby><rb>便利</rb><rt>べんり</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

べんり<br>
<span style=""color:turquoise"">(<strong>adj-na</strong>) convenient; handy; useful</span>

<hr>

<ruby><rb>私</rb><rt>わたし</rt></ruby>の<ruby><rb>家</rb><rt>いえ</rt></ruby>は<ruby><rb>駅</rb><rt>えき</rt></ruby>に<ruby><rb>近</rb><rt>ちか</rt></ruby>いから<ruby><rb>便利</rb><rt>べんり</rt></ruby>です。<br>
My house is convenient because it is close to the station.

"
<ruby><rb>借</rb><rt>か</rt></ruby>りる	"<ruby><rb>借</rb><rt>か</rt></ruby>りる

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

かりる<br>
<span style=""color:turquoise"">(<strong>v1,vt</strong>) to borrow; to have a loan | to rent</span>

<hr>

<ruby><rb>東京</rb><rt>とうきょう</rt></ruby>でアパートを<ruby><rb>借</rb><rt>か</rt></ruby>りています。<br>
I am renting an apartment in Tokyo.

"
<ruby><rb>側</rb><rt>そば</rt></ruby>	"<ruby><rb>側</rb><rt>そば</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

そば<br>
<span style=""color:turquoise"">(<strong>n</strong>) beside; proximity; besides</span>

<hr>

<ruby><rb>彼女</rb><rt>かのじょ</rt></ruby>の<ruby><rb>側</rb><rt>そば</rt></ruby>に<ruby><rb>座</rb><rt>すわ</rt></ruby>った。<br>
I sat beside her.

"
<ruby><rb>傘</rb><rt>かさ</rt></ruby>	"<ruby><rb>傘</rb><rt>かさ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

かさ<br>
<span style=""color:turquoise"">(<strong>n</strong>) umbrella</span>

<hr>

<ruby><rb>雨</rb><rt>あめ</rt></ruby>の<ruby><rb>日</rb><rt>ひ</rt></ruby>に<ruby><rb>傘</rb><rt>かさ</rt></ruby>を<ruby><rb>持</rb><rt>も</rt></ruby>った<ruby><rb>方</rb><rt>ほう</rt></ruby>がいい。<br>
It is better to take an umbrella on rainy days.

"
<ruby><rb>働</rb><rt>はたら</rt></ruby>く	"<ruby><rb>働</rb><rt>はたら</rt></ruby>く

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

はたらく<br>
<span style=""color:turquoise"">(<strong>v5k,vi</strong>) to work; to labor</span>

<hr>

<ruby><rb>毎週</rb><rt>まいしゅう</rt></ruby>の<ruby><rb>日曜日</rb><rt>にちようび</rt></ruby>に<ruby><rb>働</rb><rt>はたら</rt></ruby>いています。<br>
I am working every Sunday.

"
<ruby><rb>元気</rb><rt>げんき</rt></ruby>	"<ruby><rb>元気</rb><rt>げんき</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

げんき<br>
<span style=""color:turquoise"">(<strong>adj-na,n</strong>) healthy; well; lively</span>

<hr>

<ruby><rb>元気</rb><rt>げんき</rt></ruby>がないですね。<br>
You don't look so well.

"
<ruby><rb>兄</rb><rt>あに</rt></ruby>	"<ruby><rb>兄</rb><rt>あに</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あに<br>
<span style=""color:turquoise"">(<strong>n</strong>) (hum) older brother</span>

<hr>

<ruby><rb>兄</rb><rt>あに</rt></ruby>が2<ruby><rb>歳</rb><rt>さい</rt></ruby><ruby><rb>上</rb><rt>じょう</rt></ruby>です。<br>
My elder brother is 2 years older than me.

"
<ruby><rb>兄弟</rb><rt>きょうだい</rt></ruby>	"<ruby><rb>兄弟</rb><rt>きょうだい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

きょうだい<br>
<span style=""color:turquoise"">(<strong>n</strong>) siblings; brothers and sisters</span>

<hr>

<ruby><rb>兄弟</rb><rt>きょうだい</rt></ruby>はいません。<br>
I don't have any siblings.

"
<ruby><rb>先</rb><rt>さき</rt></ruby>	"<ruby><rb>先</rb><rt>さき</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

さき<br>
<span style=""color:turquoise"">(<strong>n,adj-no,n-suf,pref</strong>) previous; former | ahead of</span>

<hr>

<ruby><rb>先</rb><rt>さき</rt></ruby>に<ruby><rb>行</rb><rt>い</rt></ruby>ってください。<br>
Please go ahead (without me).

"
<ruby><rb>先月</rb><rt>せんげつ</rt></ruby>	"<ruby><rb>先月</rb><rt>せんげつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

せんげつ<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t</strong>) last month</span>

<hr>

<ruby><rb>先月</rb><rt>せんげつ</rt></ruby><ruby><rb>引</rb><rt>ひ</rt></ruby>っ<ruby><rb>越</rb><rt>こ</rt></ruby>しました。<br>
I moved (residence) last month.

"
<ruby><rb>先生</rb><rt>せんせい</rt></ruby>	"<ruby><rb>先生</rb><rt>せんせい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

せんせい<br>
<span style=""color:turquoise"">(<strong>n</strong>) teacher; doctor</span>

<hr>

スミス<ruby><rb>先生</rb><rt>せんせい</rt></ruby>は<ruby><rb>英語</rb><rt>えいご</rt></ruby>の<ruby><rb>先生</rb><rt>せんせい</rt></ruby>ですか？<br>
Is Miss Smith an English teacher?

"
<ruby><rb>先週</rb><rt>せんしゅう</rt></ruby>	"<ruby><rb>先週</rb><rt>せんしゅう</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

せんしゅう<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t</strong>) last week</span>

<hr>

<ruby><rb>先週</rb><rt>せんしゅう</rt></ruby><ruby><rb>買</rb><rt>か</rt></ruby>いました。<br>
I bought it last week.

"
<ruby><rb>入</rb><rt>はい</rt></ruby>る	"<ruby><rb>入</rb><rt>はい</rt></ruby>る

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

はいる<br>
<span style=""color:turquoise"">(<strong>v5r,vi</strong>) to enter; to go into | to join; to enroll</span>

<hr>

<ruby><rb>部屋</rb><rt>へや</rt></ruby>に<ruby><rb>入</rb><rt>はい</rt></ruby>る<br>
To enter the room

"
<ruby><rb>入</rb><rt>い</rt></ruby>れる	"<ruby><rb>入</rb><rt>い</rt></ruby>れる

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いれる<br>
<span style=""color:turquoise"">(<strong>v1,vt</strong>) to put in; to insert</span>

<hr>

りんごを<ruby><rb>鞄</rb><rt>かばん</rt></ruby>に<ruby><rb>入</rb><rt>い</rt></ruby>れた。<br>
I put the apple in the bag.

"
<ruby><rb>入口</rb><rt>いりぐち</rt></ruby>	"<ruby><rb>入口</rb><rt>いりぐち</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いりぐち<br>
<span style=""color:turquoise"">(<strong>n,adj-no</strong>) entrance; entry</span>

<hr>

<ruby><rb>入口</rb><rt>いりぐち</rt></ruby>の<ruby><rb>側</rb><rt>そば</rt></ruby>で<ruby><rb>立</rb><rt>た</rt></ruby>った。<br>
He stood by the entrance.

"
<ruby><rb>全部</rb><rt>ぜんぶ</rt></ruby>	"<ruby><rb>全部</rb><rt>ぜんぶ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ぜんぶ<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t,adj-no</strong>) all; entire; whole</span>

<hr>

これが<ruby><rb>全部</rb><rt>ぜんぶ</rt></ruby>ですか？<br>
Is this everything?

"
<ruby><rb>八</rb><rt>はち</rt></ruby>	"<ruby><rb>八</rb><rt>はち</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

はち<br>
<span style=""color:turquoise"">(<strong>num</strong>) eight</span>

<hr>

<br>


"
<ruby><rb>八つ</rb><rt>やっつ</rt></ruby>	"<ruby><rb>八つ</rb><rt>やっつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

やっつ<br>
<span style=""color:turquoise"">(<strong>cnt</strong>) eight (general counter)</span>

<hr>

<br>


"
<ruby><rb>八日</rb><rt>ようか</rt></ruby>	"<ruby><rb>八日</rb><rt>ようか</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ようか<br>
<span style=""color:turquoise"">(<strong>n</strong>) the eighth day of the month</span>

<hr>

<br>


"
<ruby><rb>八百屋</rb><rt>やおや</rt></ruby>	"<ruby><rb>八百屋</rb><rt>やおや</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

やおや<br>
<span style=""color:turquoise"">(<strong>n</strong>) greengrocer</span>

<hr>

<ruby><rb>八百屋</rb><rt>やおや</rt></ruby>がデパートより<ruby><rb>安</rb><rt>やす</rt></ruby>いです。<br>
The greengrocer is cheaper than the department store.

"
<ruby><rb>公園</rb><rt>こうえん</rt></ruby>	"<ruby><rb>公園</rb><rt>こうえん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

こうえん<br>
<span style=""color:turquoise"">(<strong>n</strong>) park</span>

<hr>

<ruby><rb>公園</rb><rt>こうえん</rt></ruby>を<ruby><rb>散歩</rb><rt>さんぽ</rt></ruby>しています。<br>
I'm taking a walk in a park.

"
<ruby><rb>六</rb><rt>ろく</rt></ruby>	"<ruby><rb>六</rb><rt>ろく</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ろく<br>
<span style=""color:turquoise"">(<strong>num</strong>) six</span>

<hr>

<br>


"
<ruby><rb>六つ</rb><rt>むっつ</rt></ruby>	"<ruby><rb>六つ</rb><rt>むっつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

むっつ<br>
<span style=""color:turquoise"">(<strong>cnt</strong>) six (general counter)</span>

<hr>

<br>


"
<ruby><rb>六ひ</rb><rt>むいか</rt></ruby>	"<ruby><rb>六ひ</rb><rt>むいか</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

むいか<br>
<span style=""color:turquoise"">(<strong>n</strong>) sixth day of the month</span>

<hr>

<br>


"
<ruby><rb>再来年</rb><rt>さらいねん</rt></ruby>	"<ruby><rb>再来年</rb><rt>さらいねん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

さらいねん<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t</strong>) year after next</span>

<hr>

<ruby><rb>再来年</rb><rt>さらいねん</rt></ruby>は<ruby><rb>東京</rb><rt>とうきょう</rt></ruby>オリンピックです。<br>
The Tokyo Olympics is the year after next.

"
<ruby><rb>写真</rb><rt>しゃしん</rt></ruby>	"<ruby><rb>写真</rb><rt>しゃしん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

しゃしん<br>
<span style=""color:turquoise"">(<strong>n</strong>) photograph; photo; picture</span>

<hr>

<ruby><rb>写真</rb><rt>しゃしん</rt></ruby>を<ruby><rb>撮</rb><rt>と</rt></ruby>ってインスタグラムにアップしようよ。<br>
Let's take a picture and upload it to instagram.

"
<ruby><rb>冬</rb><rt>ふゆ</rt></ruby>	"<ruby><rb>冬</rb><rt>ふゆ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ふゆ<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t</strong>) winter</span>

<hr>

2<ruby><rb>月</rb><rt>がつ</rt></ruby>は<ruby><rb>冬</rb><rt>ふゆ</rt></ruby>の<ruby><rb>一番</rb><rt>いちばん</rt></ruby><ruby><rb>寒</rb><rt>さむ</rt></ruby>い<ruby><rb>月</rb><rt>つき</rt></ruby>です。<br>
February is the coldest month in winter.

"
<ruby><rb>冷</rb><rt>つめ</rt></ruby>たい	"<ruby><rb>冷</rb><rt>つめ</rt></ruby>たい

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

つめたい<br>
<span style=""color:turquoise"">(<strong>adj-i</strong>) cold (to the touch)</span>

<hr>

<ruby><rb>冷</rb><rt>つめ</rt></ruby>たいものは<ruby><rb>飲</rb><rt>の</rt></ruby>みたくない。<br>
I don't want to drink anything cold.

"
<ruby><rb>冷蔵庫</rb><rt>れいぞうこ</rt></ruby>	"<ruby><rb>冷蔵庫</rb><rt>れいぞうこ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

れいぞうこ<br>
<span style=""color:turquoise"">(<strong>n</strong>) refrigerator</span>

<hr>

<ruby><rb>冷蔵庫</rb><rt>れいぞうこ</rt></ruby>に<ruby><rb>入</rb><rt>はい</rt></ruby>っているりんごを<ruby><rb>食</rb><rt>た</rt></ruby>べてもいいですか？<br>
May I eat the apple that is in the refrigerator?

"
<ruby><rb>出</rb><rt>で</rt></ruby>かける	"<ruby><rb>出</rb><rt>で</rt></ruby>かける

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

でかける<br>
<span style=""color:turquoise"">(<strong>v1,vi</strong>) to go out (ex. on an outing); to set out</span>

<hr>

<ruby><rb>午後</rb><rt>ごご</rt></ruby>2<ruby><rb>時</rb><rt>じ</rt></ruby>に<ruby><rb>出</rb><rt>で</rt></ruby>かけましょうか？<br>
Shall we go out at 2 pm?

"
<ruby><rb>出</rb><rt>だ</rt></ruby>す	"<ruby><rb>出</rb><rt>だ</rt></ruby>す

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

だす<br>
<span style=""color:turquoise"">(<strong>v5s,vt</strong>) to take out; to get out | to submit (e.g. thesis) | to send (e.g. letter)</span>

<hr>

<ruby><rb>宿題</rb><rt>しゅくだい</rt></ruby>を<ruby><rb>出</rb><rt>だ</rt></ruby>した。<br>
I submitted my homework.

"
<ruby><rb>出</rb><rt>で</rt></ruby>る	"<ruby><rb>出</rb><rt>で</rt></ruby>る

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

でる<br>
<span style=""color:turquoise"">(<strong>v1,vi</strong>) to leave; to exit; to go out;</span>

<hr>

<ruby><rb>部屋</rb><rt>へや</rt></ruby>を<ruby><rb>午前</rb><rt>ごぜん</rt></ruby>8<ruby><rb>時</rb><rt>じ</rt></ruby>に<ruby><rb>出</rb><rt>で</rt></ruby>た。<br>
I left my room at 8 am.

"
<ruby><rb>出口</rb><rt>でぐち</rt></ruby>	"<ruby><rb>出口</rb><rt>でぐち</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

でぐち<br>
<span style=""color:turquoise"">(<strong>n</strong>) exit</span>

<hr>

<ruby><rb>出口</rb><rt>でぐち</rt></ruby>はどちらですか。<br>
Where is the exit?

"
<ruby><rb>出来</rb><rt>でき</rt></ruby>る	"<ruby><rb>出来</rb><rt>でき</rt></ruby>る

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

できる<br>
<span style=""color:turquoise"">(<strong>v1,vi</strong>) to be able to do</span>

<hr>

こんなにうるさい<ruby><rb>部屋</rb><rt>へや</rt></ruby>で<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>が<ruby><rb>出来</rb><rt>でき</rt></ruby>ないです。<br>
I can't study in a room as noisy as this.

"
<ruby><rb>分</rb><rt>わ</rt></ruby>かる	"<ruby><rb>分</rb><rt>わ</rt></ruby>かる

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

わかる<br>
<span style=""color:turquoise"">(<strong>v5r,vi</strong>) to understand; to comprehend</span>

<hr>

<ruby><rb>分</rb><rt>わ</rt></ruby>かっている<ruby><rb>言葉</rb><rt>ことば</rt></ruby>を<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>しなくていいでしょう。<br>
You probably don't need to study words you already know.

"
<ruby><rb>切</rb><rt>き</rt></ruby>る	"<ruby><rb>切</rb><rt>き</rt></ruby>る

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

きる<br>
<span style=""color:turquoise"">(<strong>v5r,vt</strong>) to cut | to turn off (e.g. the light)</span>

<hr>

<ruby><rb>料理</rb><rt>りょうり</rt></ruby>しているときナイフで<ruby><rb>指</rb><rt>ゆび</rt></ruby>を<ruby><rb>切</rb><rt>き</rt></ruby>った。<br>
I cut my finger with a knife while cooking.

"
<ruby><rb>切手</rb><rt>きって</rt></ruby>	"<ruby><rb>切手</rb><rt>きって</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

きって<br>
<span style=""color:turquoise"">(<strong>n</strong>) stamp (postage)</span>

<hr>

<ruby><rb>封筒</rb><rt>ふうとう</rt></ruby>に<ruby><rb>切手</rb><rt>きって</rt></ruby>を<ruby><rb>貼</rb><rt>は</rt></ruby>ってください。<br>
Please put a  stamp on the envelope.

"
<ruby><rb>切符</rb><rt>きっぷ</rt></ruby>	"<ruby><rb>切符</rb><rt>きっぷ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

きっぷ<br>
<span style=""color:turquoise"">(<strong>n</strong>) ticket</span>

<hr>

コンサートに<ruby><rb>行</rb><rt>い</rt></ruby>きたいので、<ruby><rb>切符</rb><rt>きっぷ</rt></ruby>を<ruby><rb>買</rb><rt>か</rt></ruby>うつもりです。<br>
I want to go to the concert so I intend to buy a ticket.

"
<ruby><rb>初</rb><rt>はじ</rt></ruby>めて	"<ruby><rb>初</rb><rt>はじ</rt></ruby>めて

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

はじめて<br>
<span style=""color:turquoise"">(<strong>adv,adj-no</strong>) for the first time</span>

<hr>

<ruby><rb>日本</rb><rt>にほん</rt></ruby>は<ruby><rb>初</rb><rt>はじ</rt></ruby>めてですか？<br>
Is this your first time in Japan?

"
<ruby><rb>初</rb><rt>はじ</rt></ruby>めに	"<ruby><rb>初</rb><rt>はじ</rt></ruby>めに

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

はじめに<br>
<span style=""color:turquoise"">(<strong>exp</strong>) first; at the beginning</span>

<hr>

<ruby><rb>初</rb><rt>はじ</rt></ruby>めにひらがなを<ruby><rb>覚</rb><rt>おぼ</rt></ruby>えたり、<ruby><rb>簡単</rb><rt>かんたん</rt></ruby>な<ruby><rb>文章</rb><rt>ぶんしょう</rt></ruby>を<ruby><rb>作</rb><rt>つく</rt></ruby>ったりします。<br>
At first you will learn hiragana and create simple sentences.

"
<ruby><rb>前</rb><rt>まえ</rt></ruby>	"<ruby><rb>前</rb><rt>まえ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

まえ<br>
<span style=""color:turquoise"">(<strong>n-adv,n-t</strong>) before; previously | in front (of)</span>

<hr>

<ruby><rb>店</rb><rt>みせ</rt></ruby>の<ruby><rb>前</rb><rt>まえ</rt></ruby>の<ruby><rb>看板</rb><rt>かんばん</rt></ruby>に<ruby><rb>何時</rb><rt>なんじ</rt></ruby><ruby><rb>から<ruby何時</rb><rt>なんじ</rt></ruby>まで<ruby><rb>開</rb><rt>あ</rt></ruby>いていると<ruby><rb>書</rb><rt>か</rt></ruby>いてある？<br>
Does the sign in front of the store say from what time to what time they are open?

"
<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>	"<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

べんきょう<br>
<span style=""color:turquoise"">(<strong>n,vs</strong>) study</span>

<hr>

カタカナを<ruby><rb>勉強</rb><rt>べんきょう</rt></ruby>する<ruby><rb>前</rb><rt>まえ</rt></ruby>にひらがなを<ruby><rb>習</rb><rt>なら</rt></ruby>う。<br>
Study hiragana before learning katakana

"
<ruby><rb>動物</rb><rt>どうぶつ</rt></ruby>	"<ruby><rb>動物</rb><rt>どうぶつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

どうぶつ<br>
<span style=""color:turquoise"">(<strong>n</strong>) animal</span>

<hr>

ここから<ruby><rb>一番</rb><rt>いちばん</rt></ruby><ruby><rb>近</rb><rt>ちか</rt></ruby>い<ruby><rb>動物園</rb><rt>どうぶつえん</rt></ruby>にはたくさんの<ruby><rb>動物</rb><rt>どうぶつ</rt></ruby>がいますか？<br>
Are there many animals in the zoo closest to here?

"
<ruby><rb>勤</rb><rt>つと</rt></ruby>める	"<ruby><rb>勤</rb><rt>つと</rt></ruby>める

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

つとめる<br>
<span style=""color:turquoise"">(<strong>v1,vt</strong>) to work (for); to be employed (at)</span>

<hr>

<ruby><rb>父</rb><rt>ちち</rt></ruby>は<ruby><rb>銀行</rb><rt>ぎんこう</rt></ruby>に<ruby><rb>勤</rb><rt>つと</rt></ruby>めています。<br>
My father works for a bank.

"
<ruby><rb>北</rb><rt>きた</rt></ruby>	"<ruby><rb>北</rb><rt>きた</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

きた<br>
<span style=""color:turquoise"">(<strong>n</strong>) north</span>

<hr>

<ruby><rb>北海道</rb><rt>ほっかいどう</rt></ruby>は<ruby><rb>本州</rb><rt>ほんしゅう</rt></ruby>の<ruby><rb>北</rb><rt>きた</rt></ruby>にある。<br>
Hokkaido is to the north of Honshu.

"
