生	生	なま	adj-no,adj-na,pref	raw; uncooked; fresh; natural								
取れる	取れる	とれる	vi	to come off; to be removed								
受け取る	受け取る	うけとる	vt	to accept; to receive								
句	句[く]	く	n	section (i.e. of text); paragraph								
叩く	叩[たた]く	たたく	vt	to strike; to clap; to beat; to tap	ドラムを叩く		to play the drums					
可能	可能[かのう]	かのう	adj-na,n	possible; feasible								
合わせる	合わせる	あわせる	vt	to match (rhythm, speed, etc.); to combine								
合図	合図	あいず	n,vs	signal; cue								
合格	合格	ごうかく	n,vs	success; passing (e.g. exam)								
合計	合計	ごうけい	n,vs	total amount								
同一	同一	どういつ	adj-no,adj-na	identical; equal								
同時	同時	どうじ	n,adj-no	simultaneous; concurrent								
同様	同様	どうよう	adj-no,adj-na,n	identical; equal to								
名	名	な	n	name (first); given name								
名人	名人	めいじん	n	expert								
吐く	吐[は]く	はく	vt	to breathe out; to vomit								
向かい	向かい	むかい	n,adj-no	facing; across the street								
向く	向く	むく	vi	to turn toward; to face; to be suited to	カメラに向いて。		Face toward the camera.					
向ける	向ける	むける	vt	to turn towards	席をカメラに向けて。		Face the seat towards the camera.					
吠える	吠[ほ]える	ほえる	vi	to bark; to howl								
否定	否定	ひてい	n,vs,adj-no	denial; repudiation								
含む	含[ふく]む	ふくむ	vt	to contain; to include								
吸収	吸収	きゅうしゅう	n,vs	absorption								
周囲	周囲[しゅうい]	しゅうい	n,adj-no	surroundings								
呼吸	呼吸	こきゅう	n,vs	breathing; respiration								
命	命	いのち	n	life; lifetime								
命じる	命じる	めいじる	vt	to order; to command								
命令	命令[めいれい]	めいれい	n,vs	order; command								
咳	咳[せき]	せき	n	cough								
哀れ	哀[あわ]れ	あわれ	n	pity; sorrow								
哲学	哲学[てつがく]	てつがく	n	philosophy								
唯一	唯一[ゆいいつ]	ゆいいつ	adj-no,adv	sole; unique								
商人	商人	しょうにん	n,adj-no	trader; merchant								
商売	商売	しょうばい	n,vs	trade; commerce								
問い	問い	とい	n	question								
喜び	喜び	よろこび	n	joy; delight								
営業	営業	えいぎょう	n,vs	sales; selling								
噂	噂[うわさ]	うわさ	n,vs,adj-no	rumour; gossip								
器用	器用[きよう]	きよう	adj-na,n	skilful; adroit								
回す	回す	まわす	vt	to turn; to rotate								
回り	回り	まわり	n	rotation								
回復	回復	かいふく	n,vs	restoration; return								
団体	団体	だんたい	n	organization; association								
困難	困難	こんなん	n,adj-na	difficulty; hardship								
囲む	囲[かこ]む	かこむ	vt	to encircle; to enclose								
図	図	ず	n,n-suf	drawing; picture; diagram; figure								
国会	国会	こっかい	n	National Diet								
国境	国境[こっきょう]	こっきょう	n,adj-no	national border								
国家	国家	こっか	n	state; nation								
国語	国語	こくご	n	national language; Japanese language								
土	土	つち	n	soil; dirt; mud								
土地	土地	とち	n	plot of land								
地下	地下	ちか	n,adj-no	basement; cellar								
地位	地位	ちい	n	position; status								
地区	地区	ちく	n,adj-no	district; section								
地球	地球	ちきゅう	n,adj-no	the earth; the globe								
型	型	かた	n	mould; template; type; pattern	型を取る		to take a mould					
ほこり	ほこり	ほこり	n	dust								
城	城[しろ]	しろ	n	castle								
基本	基本[きほん]	きほん	n,adj-no	foundation; basis								
場	場	ば	n	place								
場面	場面	ばめん	n,adj-no	scene; setting (e.g. of novel)								
塀	塀[へい]	へい	n	wall; fence								
塔	塔[とう]	とう	n	tower; spire								
墓	墓[はか]	はか	n	gravesite; tomb								
増す	増す	ます	vi,vt	to increase; to grow								
増加	増加	ぞうか	n,vs	increase; growth								
売れる	売れる	うれる	vi	to sell (a lot)								
変化	変化	へんか	n,vs	change; transformation								
外す	外す	はずす	vt	to take off; to detach; to unfasten								
外交	外交	がいこう	n	diplomacy								
外出	外出	がいしゅつ	n,vs	going out								
多少	多少	たしょう	adv,adj-no	more or less; somewhat								
夜明け	夜明け	よあけ	n	dawn; daybreak								
大いに	大いに	おおいに	adv	very; much; greatly; a lot of								
大した	大した	たいした	adj-pn	considerable; important; significant; a big deal								
大会	大会	たいかい	n,adj-no	convention; tournament								
大使	大使	たいし	n,adj-no	ambassador								
大半	大半	たいはん	n,adj-no	majority; more than half								
大家	大家	たいか	n	master; expert								
大戦	大戦	たいせん	n	great war; World War								
大気	大気	たいき	n	atmosphere								
大臣	大臣[だいじん]	だいじん	n	cabinet minister								
大部分	大部分	だいぶぶん	n	greater part; majority								
大陸	大陸[たいりく]	たいりく	n	continent								
天候	天候	てんこう	n	weather								
天然	天然	てんねん	n,adj-no	nature								
夫人	夫人	ふじん	n	(hon) wife; Mrs								
夫婦	夫婦	ふうふ	n	married couple; husband and wife								
失望	失望	しつぼう	n,vs	disappointment; despair								
失業	失業	しつぎょう	n,vs	losing one's job; becoming unemployed								
奇妙	奇妙[きみょう]	きみょう	adj-na,n	strange; curious								
奨学金	奨学金[しょうがくきん]	しょうがくきん	n	scholarship; stipend								
奪う	奪[うば]う	うばう	vt	to snatch away; to steal								
女優	女優	じょゆう	n,adj-no	actress								
女子	女子	じょし	n,adj-no	girl								
女王	女王	じょおう	n,adj-no	queen								
好む	好む	このむ	vt	to prefer; to like								
妙	妙[みょう]	みょう	adj-na,n	strange; weird; odd								
姉妹	姉妹	しまい	n	sisters								
始まり	始まり	はじまり	n	beginning								
姿	姿[すがた]	すがた	n	figure; form								
婚約	婚約	こんやく	n,vs,adj-no	engagement; betrothal								
婦人	婦人	ふじん	n	woman; lady								
嫁	嫁[よめ]	よめ	n	(my) wife; bride								
存在	存在	そんざい	n,vs,adj-no	existence; being								
学	学	がく	n	learning; scholarship								
学ぶ	学ぶ	まなぶ	vt	to study								
学問	学問	がくもん	n,vs	scholarship; study; learning								
学期	学期	がっき	n,adj-no	school term; semester								
学習	学習	がくしゅう	n,vs	study; learning								
学者	学者	がくしゃ	n,adj-no	scholar								
宇宙	宇宙[うちゅう]	うちゅう	n	universe; cosmos; space								
安定	安定	あんてい	n,vs,adj-na,adj-no	stability; steadiness								
完了	完了	かんりょう	n,vs,adj-no	completion								
完全	完全	かんぜん	adj-na,n,adj-no	completeness								
宗教	宗教[しゅうきょう]	しゅうきょう	n	religion								
定期	定期	ていき	n	fixed period; fixed term								
宝	宝[たから]	たから	n	treasure								
宝石	宝石[ほうせき]	ほうせき	n,adj-no	gem; jewel								
実は	実は	じつは	exp,adv	as a matter of fact; frankly								
実施	実施[じっし]	じっし	n,vs	enforcement; implementation								
実現	実現	じつげん	n,vs	implementation (e.g. of a system)								
実行	実行	じっこう	n,vs	execution (e.g. of a plan)								
実験	実験	じっけん	n,vs	experiment								
家具	家具	かぐ	n	furniture								
容易	容易	ようい	adj-na,n	easy; simple; plain								
寄付	寄付	きふ	n,vs	donation								
審判	審判[しんぱん]	しんぱん	n,vs	referee; judgement; umpire								
対する	対する	たいする	vi	to face (each other); to confront; to oppose								
対象	対象[たいしょう]	たいしょう	n,adj-no	target; object; scope								
専攻	専攻[せんこう]	せんこう	n,vs,adj-no	major (in school or study); specialty								
尊敬	尊敬[そんけい]	そんけい	n,vs	respect; honor								
尊重	尊重[そんちょう]	そんちょう	n,vs	respect; regard								
小包	小包[こづつみ]	こづつみ	n	(small) parcel; package								
小屋	小屋	こや	n	hut; cabin; shed								
小麦	小麦	こむぎ	n	wheat								
少々	少々[しょうしょう]	しょうしょう	n-adv,n	just a minute; small quantity								
少女	少女	しょうじょ	n	maiden; young lady								
少年	少年	しょうねん	n	juvenile; youth (usually male)								
就く	就[つ]く	つく	vi	to be hired; to be employed								
お尻	お 尻[しり]	おしり	n	buttocks; behind								
局	局	きょく	n,n-suf	bureau; department								
居眠り	居眠り	いねむり	n,vs	nodding off (when sitting); dozing								
届く	届く	とどく	vi	to be delivered								
屋根	屋根[やね]	やね	n	roof								
岩	岩[いわ]	いわ	n	rock; boulder								
嵐	嵐[あらし]	あらし	n	storm; tempest								
州	州[しゅう]	しゅう	n,suf	state; province; county								
巣	巣[す]	す	n	nest; hive								
左右	左右	さゆう	n,vs	left and right								
巨大	巨大[きょだい]	きょだい	adj-na,n	huge; gigantic								
差	差	さ	n	difference; variation								
差別	差別	さべつ	n,vs	discrimination; differentiation								
市場（いちば）	市場（いちば）	いちば	n	market; marketplace (physical place)								
市場（しじょう）	市場（しじょう）	しじょう	n	(the) market (as a concept)								
布	布[ぬの]	ぬの	n	cloth								
帰宅	帰宅	きたく	n,vs	returning home								
常に	常に	つねに	adv	always; constantly								
幕	幕[まく]	まく	n	curtain								
平ら	平ら	たいら	adj-na,n	flatness; level								
平等	平等	びょうどう	adj-na,adj-no,n	impartiality; evenness								
年中	年中	ねんじゅう	n	whole year; all year round								
年代	年代	ねんだい	n	age; era								
年間	年間	ねんかん	n	(period of) a year								
幸い	幸い	さいわい	adj-na,n	happiness; fortune								
幸せ	幸せ	しあわせ	adj-na,n	happiness; good fortune								
幸福	幸福	こうふく	adj-na,n	happiness; well-being								
幸運	幸運	こううん	adj-na,n	good luck								
幼い	幼[おさな]い	おさない	adj-i	childish; immature								
広告	広告	こうこく	n,vs,adj-no	advertisement								
床	床[ゆか]	ゆか	n	floor								
底	底[そこ]	そこ	n	bottom; sole								
座席	座席	ざせき	n,adj-no	seat								
延期	延期[えんき]	えんき	n,vs	postponement; deferment								
建築	建築[けんちく]	けんちく	n,vs	construction; architecture								
弁護士	弁護士[べんごし]	べんごし	n	lawyer; attorney								
式	式	しき	n,n-suf	equation; formula								
引っ張る	引[ひ]っ 張[ぱ]る	ひっぱる	vt	to pull out; to draw out								
引用	引用	いんよう	n,vs,adj-no	quotation; reference								
引退	引退	いんたい	n,vs	retirement								
強力	強力	きょうりょく	adj-na,n	powerful; strong								
強盗	強盗	ごうとう	n	mugger; burgler								
強調	強調	きょうちょう	n,vs	emphasis; highlight								
当たる	当たる	あたる	vi	to be hit; to strike; to be selected; to win	賞品が当たる		to win a prize					
当てる	当てる	あてる	vt	to hit; to put on; to expose								
当時	当時	とうじ	n-adv,n	at that time; in those days								
当然	当然	とうぜん	adj-na,adj-no	natural; of course								
影	影[かげ]	かげ	n	shadow; silhouette								
役割	役割	やくわり	n	part; role								
後者	後者	こうしゃ	n,adj-no	the latter								
従う	従[したが]う	したがう	vi	to obey; to follow								
いとこ	いとこ	いとこ	n	cousin								
微妙	微妙[びみょう]	びみょう	adj-na,n	subtle; sensitive								
微笑む	微笑[ほほえ]む	ほほえむ	vi	to smile								
徹底	徹底[てってい]	てってい	n,vs	thoroughness; completeness								
心理	心理	しんり	n	state of mind; psychology								
心臓	心臓[しんぞう]	しんぞう	n,adj-no	heart (medical)								
必ずしも	必ずしも	かならずしも	adv	not always; not necessarily								
必死	必死	ひっし	adj-na,adj-no	frantic; desperate								
応じる	応[おう]じる	おうじる	vi	to satisfy; to accept; to comply with								
思い出	思い出	おもいで	n	memories; reminiscence								
思わず	思わず	おもわず	adv	reflexively; instinctively								
思想	思想	しそう	n	idea; ideology								
怠ける	怠[なま]ける	なまける	vi | vt	to be idle | to neglect (e.g. one's work)								
急激	急激[きゅうげき]	きゅうげき	adj-na,n	sudden; abrupt								
急速	急速	きゅうそく	adj-na,n	rapid (e.g. progress)								
恋	恋[こい]	こい	n	(romantic) love								
恋人	恋人[こいびと]	こいびと	n	lover; sweetheart								
恐れる	恐れる	おそれる	vt	to fear								
恐ろしい	恐ろしい	おそろしい	adj-i	dreadful; terrifying; frightening								
恐怖	恐怖	きょうふ	n,vs	fear; dread								
息	息	いき	n	breath								
患者	患者[かんじゃ]	かんじゃ	n	(medical) patient								
悪魔	悪魔[あくま]	あくま	n	devil; demon								
悲しむ	悲しむ	かなしむ	vt	to be sad								
悲劇	悲劇[ひげき]	ひげき	n	tragedy; disaster								
愉快	愉快[ゆかい]	ゆかい	adj-na,n	pleasant; delightfu								
意外	意外	いがい	adj-na,adv-to,n	unexpected; surprising								
意志	意志[いし]	いし	n	will; volition								
意思	意思	いし	n	intention; wish								
意識	意識	いしき	n,vs	consciousness; awareness								
愛	愛	あい	n	love								
愛する	愛する	あいする	vt	to love								
感じ	感じ	かんじ	n	feeling; sense								
感じる	感じる	かんじる	vt	to feel; to sense								
感動	感動	かんどう	n,vs	being deeply moved emotionally								
感心	感心	かんしん	n,vs	admiration; being impressed								
感情	感情	かんじょう	n,adj-no	emotion; feelings								
感覚	感覚	かんかく	n,vs	sensation; feeling								
慎重	慎重[しんちょう]	しんちょう	adj-na,n	cautious; prudent								
憲法	憲法[けんぽう]	けんぽう	n,adj-no	constitution								
成人	成人	せいじん	n	adult								
成長	成長	せいちょう	n,vs	growth								
我々	我々[われわれ]	われわれ	pn,adj-no	we								
我慢	我慢[がまん]	がまん	n,vs	tolerance; self-control								
戦い	戦い	たたかい	n	battle; conflict								
戦う	戦う	たたかう	vi	to wage war; to fight								
～のおかげ	～のおかげ	～のおかげ	exp	due to ～ (positive meaning)								
～のせい	～のせい	～のせい	exp	～'s fault (negative meaning)								
手品	手品	てじな	n	sleight of hand								
手段	手段	しゅだん	n	means; way								
手間	手間	てま	n	time; labour; trouble								
才能	才能	さいのう	n	talent; ability								
扱う	扱[あつか]う	あつかう	vt	to handle; to manage; to deal with								
批判	批判[ひはん]	ひはん	n,vs	criticism; judgement								
批評	批評[ひひょう]	ひひょう	n,vs,adj-no	criticism; review								
承認	承認[しょうにん]	しょうにん	n,vs	approval; consent								
技師	技師	ぎし	n	technician; engineer								
抜く	抜く	ぬく	vt	to extract; to omit								
抱える	抱える	かかえる	vt	to hold or carry under or in the arms								
抵抗	抵抗[ていこう]	ていこう	n,vs	resistance; reluctance								
担当	担当[たんとう]	たんとう	n,vs	being in charge; being responsible for								
拍手	拍手[はくしゅ]	はくしゅ	n,vs	applause								
招く	招く	まねく	vt	to invite								
拡大	拡大[かくだい]	かくだい	n,vs	magnification; amplification; enlargement; expansion								
指す	指す	さす	vt	to point; to specify; to select								
振る	振る	ふる	vt	to shake; to wave								
捕まる	捕まる	つかまる	vi	to be caught; to be arrested								
推薦	推薦[すいせん]	すいせん	n,vs,adj-no	recommendation; endorsement								
掲示	掲示[けいじ]	けいじ	n,vs	notice; bulletin								
掴む	掴[つか]む	つかむ	vt	to seize; to grasp; to grip								
提出	提出[ていしゅつ]	ていしゅつ	n,vs	to present; to submit (e.g. a report or a thesis)								
提案	提案[ていあん]	ていあん	n,vs	proposal								
握る	握[にぎ]る	にぎる	vt	to grasp; to grip								
握手	握手[あくしゅ]	あくしゅ	n,vs	handshake								
損	損[そん]	そん	adj-na,n,n-suf	loss; damage; harm								
損害	損害[そんがい]	そんがい	n,vs	damage; injury; loss								
撃つ	撃[う]つ	うつ	vt	to shoot								
支える	支える	ささえる	vt	to support; to hold up								
支出	支出	ししゅつ	n,vs	expenditure; disbursement								
支店	支店	してん	n	branch office; branch store								
支払い	支払い	しはらい	n	payment								
支給	支給	しきゅう	n,vs	payment; allowance								
支配	支配	しはい	n,vs	domination; control; direction; management								
改善	改善[かいぜん]	かいぜん	n,vs,adj-no	improvement								
放す	放す	はなす	vt	to release; to let go								
政府	政府	せいふ	n	government								
救う	救う	すくう	vt	to rescue from; to save								
救助	救助	きゅうじょ	n,vs	relief; aid								
教授	教授	きょうじゅ	n	professor								
教科書	教科書	きょうかしょ	n	textbook; coursebook; schoolbook								
敬意	敬意[けいい]	けいい	n	respect; honor								
数字	数字	すうじ	n	(math) numeral; digit; number								
整理	整理	せいり	n,vs	putting in order; organization; adjustment; regulation								
文	文	ぶん	n	sentence; text								
文明	文明	ぶんめい	n	civilization; culture								
料金	料金	りょうきん	n	fee; charge								
新た	新た	あらた	adj-na,n	new; novel								
方向	方向	ほうこう	n	direction; orientation								
旅	旅	たび	n,vs	trip; journey								
旗	旗[はた]	はた	n	flag								
日中	日中	にっちゅう	n-adv,n	daytime; during the day								
日付	日付	ひづけ	n,adj-no	date								
日光	日光	にっこう	n	sunlight								
日常	日常	にちじょう	adj-no,n-adv,n	ordinary; usual; regular								
明かり	明かり	あかり	n	illumination								
明ける	明ける	あける	vt | vi	to empty; to make space | to dawn; to grow light								
明らか	明らか	あきらか	adj-na,n	obvious; evident; clear								
明確	明確	めいかく	adj-na	precise; definite								
昼食	昼食	ちゅうしょく	n	lunch								
時（とき）	時（とき）	とき	n	time; occasion								
時刻	時刻	じこく	n-adv,n	time (shown on a clock)								
普段	普段	ふだん	adj-no,n-adv,n,n	usual; everyday								
景気	景気	けいき	n	business conditions; economic climate								
暗記	暗記	あんき	n,vs	memorization								
暮らし	暮らし	くらし	n,n-suf	living; life circumstances								
暮らす	暮らす	くらす	vi	to live; to get along								
暮れ	暮れ	くれ	n,adj-no,n-suf	sunset; end; close								
更に	更に	さらに	adv,conj	furthermore; moreover								
書物	書物	しょもつ	n	books								
書類	書類	しょるい	n	documents; official papers								
最低	最低	さいてい	adj-no,adj-na,n	least; lowest; worst								
最終	最終	さいしゅう	n,adj-no	last; final								
有利	有利	ゆうり	adj-na,n	advantageous; profitable								
有効	有効[ゆうこう]	ゆうこう	adj-na,n	effective								
有能	有能	ゆうのう	adj-na,n	able; capable								
服装	服装[ふくそう]	ふくそう	n	garments; attire								
望み	望み	のぞみ	n	wish; desire								
望む	望む	のぞむ	vt	to desire; to wish for								
期間	期間	きかん	n	period; term								
未来	未来	みらい	n,adj-no	the future								
末（すえ）	末（すえ）	すえ	n	tip; end								
末（まつ）	末（まつ）	まつ	n-adv,n	the end of								
本人	本人	ほんにん	n,adj-no	the person themselves								
本物	本物	ほんもの	n,adj-no	genuine article; real thing								
札	札	さつ	n,n-suf	paper money								
材料	材料	ざいりょう	n	ingredients; materials								
松	松[まつ]	まつ	n	pine tree								
板	板[いた]	いた	n	board; plank								
株	株[かぶ]	かぶ	n	stock; stump; stock (share of a company)								
案	案	あん	n,n-suf	idea; thought								
桜	桜[さくら]	さくら	n	cherry tree; cherry blossom								
梅	梅[うめ]	うめ	n	Japanese apricot								
棒	棒[ぼう]	ぼう	n	pole; rod; stick								
植物	植物[しょくぶつ]	しょくぶつ	n	plant; vegetation								
検討	検討[けんとう]	けんとう	n,vs	consideration								
楽	楽	らく	adj-na,n	comfort; ease								
構成	構成	こうせい	n,vs,adj-no	organization; configuration								
様々	様々[さまざま]	さまざま	adj-na,n	various								
模様	模様[もよう]	もよう	n	model; pattern; example								
権利	権利	けんり	n	right; privilege								
横切る	横切る	よこぎる	vt	to cross (e.g. road)								
横断	横断	おうだん	n,vs	crossing; traversing								
機械	機械	きかい	n	machine; apparatus								
機関	機関	きかん	n	agency; institution; system; facility								
欠ける	欠ける	かける	vi	to be chipped; to be broken | to be lacking; to be insufficient								
欠点	欠点	けってん	n	defect; flaw; weak point								
欠陥	欠陥[けっかん]	けっかん	n	defect; deficiency; shortage								
次々	次々[つぎつぎ]	つぎつぎ	adv,adv-to,n	in succession; one by one								
歓迎	歓迎[かんげい]	かんげい	n,vs,adj-no	welcome; reception								
止す	止す	よす	vt	to cease; to desist; to abolish								
正	正	せい	n,adj-no	(logical) true; regular								
正午	正午	しょうご	n-adv,n	noon; mid-day								
正式	正式	せいしき	adj-na,adj-no,n	official; formality								
武器	武器[ぶき]	ぶき	n	weapon; arms								
歩道	歩道	ほどう	n	walkway; sidewalk								
死亡	死亡	しぼう	n,vs	to die; to pass away								
残す	残す	のこす	vt	to leave (behind, over)								
段	段	だん	n	step; stair; rank; level								
殺す	殺す	ころす	vt	to kill								
母親	母親	ははおや	n,adj-no	mother								
毒	毒[どく]	どく	n	poison								
比較	比較[ひかく]	ひかく	n,vs,adj-no	comparison								
毛布	毛布[もうふ]	もうふ	n	blanket								
気の毒	気[き]の 毒[どく]	きのどく	adj-na,n	pitiful; unfortunate								
気付く	気付く	きづく	vi	to notice; to become aware of								
気味	気味	きみ	n	sensation; feeling								
気温	気温	きおん	n	temperature (weather)								
水準	水準	すいじゅん	n	level; standard								
氷	氷	こおり	n	ice								
永久	永久[えいきゅう]	えいきゅう	n,adj-na,adj-no	eternity; perpetuity								
永遠	永遠[えいえん]	えいえん	adj-no,adj-na,n	eternity; perpetuity								
求める	求める	もとめる	vt	to want; to request; to seek								
汗	汗	あせ	n	sweat; perspiration; condensation								
汚染	汚染[おせん]	おせん	n,vs	pollution; contamination								
決まり	決まり	きまり	n,adj-no	settlement; conclusion; agreement								
決定	決定	けってい	n,vs	decision								
沈む	沈[しず]む	しずむ	vi	to sink; to go under								
沖	沖[おき]	おき	n	open sea								
油	油	あぶら	n	oil								
泉	泉[いずみ]	いずみ	n	spring; fountain								
法	法	ほう	n,n-suf	law; act								
泡	泡[あわ]	あわ	n	bubble; foam; froth	泡がないとビールは美味しくない。		Without foam, beer is not delicious.					
波	波	なみ	n	wave								
注目	注目	ちゅうもく	n,vs	notice; attention								
泳ぎ	泳ぎ	およぎ	n	swimming								
活動	活動	かつどう	n,vs	activity								
活気	活気	かっき	n	energy; liveliness								
活用	活用	かつよう	n,vs	practical use; application								
流す	流す	ながす	vt	to drain; to pour; to wash away; to broadcast; to circulate								
流れ	流れ	ながれ	n	current; flow | course of events								
流れる	流れる	ながれる	vi	to flow (liquid, time, etc.); to be washed away; to be broadcast; to circulate								
海外	海外	かいがい	n,adj-no	foreign; overseas								
消費	消費	しょうひ	n,vs,adj-no	consumption; expenditure								
消防	消防	しょうぼう	n,vs	fire fighting								
混乱	混乱[こんらん]	こんらん	n,vs	disorder; confusion								
混雑	混雑	こんざつ	n,vs	crowding; confusion; disorder								
清潔	清潔[せいけつ]	せいけつ	adj-na,n	clean; sanitary								
済ませる	済ませる	すませる	vt	to finish								
渋滞	渋滞[じゅうたい]	じゅうたい	n,vs	congestion (e.g. traffic); stagnation								
減らす	減らす	へらす	vt	to decrease; to diminish								
温度	温度	おんど	n	temperature								
湾	湾[わん]	わん	n,n-suf	bay; gulf; inlet								
満ちる	満ちる	みちる	vi	to be full; to mature; to expire								
おぼれる	おぼれる	おぼれる	vi	to drown; to sink below the surface								
滞在	滞在[たいざい]	たいざい	n,vs	stay; sojourn								
演説	演説	えんぜつ	n,vs	speech; address								
濃い	濃い	こい	adj-i	deep; strong (flavour, smell, etc.); thick (consistency)								
火災	火災[かさい]	かさい	n	conflagration; fire								
灯	灯	ひ	n	lamp; torch								
灰	灰	はい	n	ashes								
炎	炎[ほのお]	ほのお	n	flame; blaze								
無事	無事	ぶじ	n,adj-na,adj-no	safety; peace								
煙	煙	けむり	n	smoke								
熱帯	熱帯	ねったい	n	tropics								
爆発	爆発[ばくはつ]	ばくはつ	n,vs	explosion; detonation								
父親	父親	ちちおや	n	father								
牛	牛	うし	n	cow; bull								
物事	物事	ものごと	n	things								
物価	物価	ぶっか	n	prices (in general, of commodities)								
物語	物語	ものがたり	n,vs,adj-no	tale; story								
物質	物質	ぶっしつ	n	material; substance; matter								
物音	物音	ものおと	n	sounds								
特徴	特徴[とくちょう]	とくちょう	n	trait; characteristic								
犯罪	犯罪	はんざい	n,adj-no	crime; offence								
状況	状況[じょうきょう]	じょうきょう	n,adj-no	situation; circumstances								
狂う	狂[くる]う	くるう	vi	to go mad; to get out of order								
独特	独特	どくとく	n,adj-no,adj-na	peculiarity; uniqueness								
独立	独立	どくりつ	adj-na,n,vs	independence; self-support								
率	率[りつ]	りつ	n,n-suf	ratio; proportion; percentage								
王子	王子	おうじ	n	prince								
現れ	現れ	あらわれ	n	manifestation; materialization; expression								
現れる	現れる	あらわれる	vi	to appear; to become visible								
現代	現代	げんだい	adj-no,n-adv,n	nowadays; modern times								
現状	現状	げんじょう	n,adj-no	present condition								
現象	現象[げんしょう]	げんしょう	n	phenomenon								
現金	現金	げんきん	n	cash								
環境	環境[かんきょう]	かんきょう	n,adj-no	environment								
瓶	瓶[びん]	びん	n	bottle; jar								
生き物	生き物	いきもの	n	living thing								
生じる	生じる	しょうじる	vt | vi	to produce; to yield | to result from								
生まれ	生まれ	うまれ	n	birth; birthplace								
生命	生命	せいめい	n	life								
用いる	用いる	もちいる	vt	to use; to utilize								
用心	用心	ようじん	n,vs	care; caution								
申し訳	申[もう]し 訳[わけ]	もうしわけ	n,vs	apology; excuse								
申し込む	申し込む	もうしこむ	vt	to apply for								
男子	男子	だんし	n	young man								
画面	画面	がめん	n	screen; picture								
畑	畑[はたけ]	はたけ	n	field; cultivated land								
留める	留める	とどめる	vt	to stop; to keep (in position, in place); to limit								
留学	留学	りゅうがく	n,vs	studying abroad								
異なる	異[こと]なる	ことなる	vi	to differ								
疑う	疑う	うたがう	vt	to doubt; to suspect								
疑問	疑問	ぎもん	n	question; doubt; problem								
疲れ	疲れ	つかれ	n	tiredness; fatigue								
症状	症状[しょうじょう]	しょうじょう	n,adj-no	symptom								
痛み	痛み	いたみ	n	pain; soreness								
癖	癖[くせ]	くせ	n	habit; tendency; peculiarity								
発展	発展[はってん]	はってん	n,vs	development; growth; expansion								
発明	発明	はつめい	n,vs	invention; becoming clear								
発行	発行	はっこう	n,vs	publication; issue								
発表	発表	はっぴょう	n,vs	announcement; publication; presenting								
発見	発見	はっけん	n,vs	discovery; detection								
発達	発達	はったつ	n,vs	development; growth								
皮	皮[かわ]	かわ	n	skin; hide; fur								
監督	監督[かんとく]	かんとく	n,vs,adj-no	supervision; direction | coach; manager; director								
目標	目標[もくひょう]	もくひょう	n	objective; target								
直ちに	直ちに	ただちに	adv	at once; immediately								
直に	直に	じきに	adv	in person; firsthand								
直接	直接	ちょくせつ	adj-na,n-adv,adj-no	direct								
相当	相当	そうとう	adv	considerably; rather; quite								
相手	相手	あいて	n	compaion; partner; other party								
相続	相続	そうぞく	n,vs	succession; inheritance								
省く	省[はぶ]く	はぶく	vt	to omit; to exclude								
県	県	けん	n	prefecture								
眺め	眺[なが]め	ながめ	n	scene; view								
眺める	眺[なが]める	ながめる	vt	to gaze at								
睡眠	睡眠	すいみん	n,adj-no	sleep								
瞬間	瞬間[しゅんかん]	しゅんかん	n-adv,n	moment; instant								
お知らせ	お知らせ	おしらせ	n	news; notification								
知事	知事	ちじ	n,adj-no	governor								
知恵	知恵[ちえ]	ちえ	n	wisdom								
知能	知能	ちのう	n	intelligence								
知識	知識	ちしき	n	knowledge								
石油	石油	せきゆ	n	oil; petroleum								
石炭	石炭[せきたん]	せきたん	n	coal								
砂漠	砂漠[さばく]	さばく	n	desert								
破る	破る	やぶる	vt	to tear; to break; to destroy								
破産	破産	はさん	n,vs	bankruptcy								
硬貨	硬貨[こうか]	こうか	n	coin; hard currency								
確実	確実	かくじつ	adj-na,n	certainty; reliability								
示す	示す	しめす	vt	toshow; to demonstrate								
礼儀	礼儀[れいぎ]	れいぎ	n	manners; etiquette								
祝い	祝い	いわい	n	congratulations								
祝う	祝う	いわう	vt	to congratulate								
神様	神様	かみさま	n	god; deity								
神経	神経	しんけい	n,adj-no	nerve (medical)								
お祭	お祭	おまつり	n	festival								
禁止	禁止	きんし	n,vs	prohibition; ban								
秒	秒[びょう]	びょう	n	second (unit of time)								
移す	移す	うつす	vt	to change; to substitute; to transfer								
移動	移動	いどう	n,vs	moving; transfer; migration								
程度	程度	ていど	n,n-adv,n-suf	degree; amount; grade								
税金	税金	ぜいきん	n	tax; duty								
種	種	たね	n	seed (e.g. of a plant)								
種類	種類	しゅるい	n	type; kind; category								
稲	稲[いね]	いね	n	rice plant								
稼ぐ	稼[かせ]ぐ	かせぐ	vt,vi	to earn (income); to make (money)								
穀物	穀物[こくもつ]	こくもつ	n,adj-no	grain; cereal								
積もる	積もる	つもる	vi	to pile up; to accumulate								
積極的	積極的[せっきょくてき]	せっきょくてき	adj-na	active; proactive; assertive								
穏やか	穏[おだ]やか	おだやか	adj-na,n	calm; quiet								
穴	穴[あな]	あな	n,n-suf	hole								
空き	空き	あき	n	vacancy; opening								
立ち上がる	立ち上がる	たちあがる	vi	to stand up; to get up; to take action								
立場	立場	たちば	n	standpoint; position								
章	章[しょう]	しょう	n	chapter; section								
