生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
一方<div class="hint">one side (of two); one way</div>,いっぽう,one side (of two); one way,ここは <ruby>一方<rt>いっぽう</rt></ruby> <ruby>通行<rt>つうこう</rt></ruby>です。,This is a one-way street.
一時的<div class="hint">temporary</div>,いちじてき,temporary,,
一時<div class="hint">one time; a moment</div>,いちじ,one time; a moment,お <ruby>店<rt>みせ</rt></ruby>は <ruby>一時<rt>いちじ</rt></ruby> <ruby>休業<rt>きゅうぎょう</rt></ruby>になったんだ。,The store was temporarily closed.
一生<div class="hint">whole life; a lifetime</div>,いっしょう,whole life; a lifetime,<ruby>一生<rt>いっしょう</rt></ruby>のお <ruby>願<rt>ねが</rt></ruby>いがあります。,I have a once-in-a-lifetime favor.
一瞬<div class="hint">instant; moment</div>,いっしゅん,instant; moment,<ruby>一瞬<rt>いっしゅん</rt></ruby> <ruby>自分<rt>じぶん</rt></ruby>の <ruby>耳<rt>みみ</rt></ruby>を <ruby>疑<rt>うたが</rt></ruby>ったよ。,For a moment I couldn't believe what I heard.
一種<div class="hint">species; kind</div>,いっしゅ,species; kind,これは <ruby>一種<rt>いっしゅ</rt></ruby> <ruby>独特<rt>どくとく</rt></ruby>の <ruby>味<rt>あじ</rt></ruby>がするね。,This has an unusual sort of taste.
一致<div class="hint">coincidence; agreement</div>,いっち,coincidence; agreement,<ruby>皆<rt>みんな</rt></ruby>の <ruby>意見<rt>いけん</rt></ruby>が <ruby>一致<rt>いっち</rt></ruby>しました。,We all came to an agreement.
一般的<div class="hint">common; general; for the masses</div>,いっぱんてき,common; general; for the masses,,
一般<div class="hint">general; ordinary; common</div>,いっぱん,general; ordinary; common,<ruby>一般<rt>いっぱん</rt></ruby>の <ruby>方<rt>かた</rt></ruby>はこちらの <ruby>席<rt>せき</rt></ruby>へどうぞ。,General seating is over here.
万一<div class="hint">emergency; unlikely event | by some chance</div>,まんいち,emergency; unlikely event | by some chance,<ruby>万一<rt>まんいち</rt></ruby>のために <ruby>保険<rt>ほけん</rt></ruby>に <ruby>入<rt>はい</rt></ruby>ったの。,I bought insurance just in case.
万が一<div class="hint">in the unlikely event; in the worst case</div>,まんがいち,in the unlikely event; in the worst case,,
上京<div class="hint">going to the capital (Tokyo)</div>,じょうきょう,going to the capital (Tokyo),<ruby>上京<rt>じょうきょう</rt></ruby>して <ruby>既<rt>すんで</rt></ruby>に 3 <ruby>年<rt>ねん</rt></ruby>が <ruby>経<rt>た</rt></ruby>ちました。,Three years have already passed since I came to Tokyo.
上等<div class="hint">superior; first-class</div>,じょうとう,superior; first-class,<ruby>上等<rt>じょうとう</rt></ruby>なワインを <ruby>飲<rt>の</rt></ruby>んだの。,We drank premium wine.
上達<div class="hint">improvement (e.g. in skill; ability); advance</div>,じょうたつ,improvement (e.g. in skill; ability); advance,<ruby>短<rt>みじか</rt></ruby>い <ruby>時間<rt>じかん</rt></ruby>にずいぶん <ruby>上達<rt>じょうたつ</rt></ruby>しましたね。,You've made a great deal of progress in a short time.
下す（おろす）<div class="hint">to lower</div>,おろす,to lower,,
下り<div class="hint">train going away from Tokyo</div>,くだり,train going away from Tokyo,もうすぐ <ruby>下<rt>くだ</rt></ruby>りの <ruby>電車<rt>でんしゃ</rt></ruby>が <ruby>発車<rt>はっしゃ</rt></ruby>します。,The train out of the city is leaving.
不利<div class="hint">disadvantage; handicap</div>,ふり,disadvantage; handicap,<ruby>彼<rt>かれ</rt></ruby>は <ruby>今<rt>いま</rt></ruby>、 <ruby>不利<rt>ふり</rt></ruby>な <ruby>立場<rt>たちば</rt></ruby>にいます。,He's at a disadvantage now.
不可<div class="hint">not possible</div>,ふか,not possible,ここは <ruby>食べ<ruby>物<rt>たべもの</rt></ruby>は <ruby>持ち<ruby>込<rt>もちこ</rt></ruby>み <ruby>不可<rt>ふか</rt></ruby>です。,It is not permitted to bring food in here.
不安<div class="hint">anxiety; insecurity</div>,ふあん,anxiety; insecurity,<ruby>明日<rt>あす</rt></ruby>、 <ruby>病院<rt>びょういん</rt></ruby>に <ruby>検査<rt>けんさ</rt></ruby>に <ruby>行<rt>い</rt></ruby>くので <ruby>少<rt>すこ</rt></ruby>し <ruby>不安<rt>ふあん</rt></ruby>です。,I'm a bit worried because I have to go to the hospital for tests tomorrow.
不平<div class="hint">discontent; dissatisfaction</div>,ふへい,discontent; dissatisfaction,<ruby>私<rt>わたし</rt></ruby>はいつも <ruby>同僚<rt>どうりょう</rt></ruby>の <ruby>不平<rt>ふへい</rt></ruby>を <ruby>聞<rt>き</rt></ruby>いているんだ。,I'm always hearing my colleague's complaints.
不幸<div class="hint">misfortune</div>,ふこう,misfortune,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>家族<rt>かぞく</rt></ruby>に <ruby>不幸<rt>ふこう</rt></ruby>があった。,A misfortune befell her family.
不思議<div class="hint">wonder; miracle; strange</div>,ふしぎ,wonder; miracle; strange,それはとても <ruby>不思議<rt>ふしぎ</rt></ruby>な <ruby>話<rt>はなし</rt></ruby>だね。,It's a very mysterious story.
不正<div class="hint">injustice; unfairness</div>,ふせい,injustice; unfairness,<ruby>試験<rt>しけん</rt></ruby>で <ruby>不正<rt>ふせい</rt></ruby>が <ruby>見<rt>み</rt></ruby>つかったよ。,Cheating was discovered in the exam.
不自由<div class="hint">disability; impairment (physical; mental; etc.)</div>,ふじゆう,disability; impairment (physical; mental; etc.),<ruby>彼<rt>かれ</rt></ruby>は <ruby>不自由<rt>ふじゆう</rt></ruby>な <ruby>暮<rt>く</rt></ruby>らしに <ruby>慣<rt>な</rt></ruby>れたようだね。,It seems that he's gotten used to his restricted lifestyle.
与える<div class="hint">to give; to bestow</div>,あたえる,to give; to bestow,そのニュースは <ruby>彼<rt>かれ</rt></ruby>に <ruby>大<rt>おお</rt></ruby>きなショックを <ruby>与<rt>あた</rt></ruby>えた。,The news gave him a great shock.
世紀<div class="hint">century; era</div>,せいき,century; era,<ruby>新<rt>あたら</rt></ruby>しい <ruby>世紀<rt>せいき</rt></ruby>の <ruby>始<rt>はじ</rt></ruby>まりです。,It's the start of a new century.
世間<div class="hint">society; people</div>,せけん,society; people,<ruby>世間<rt>せけん</rt></ruby>の <ruby>反応<rt>はんのう</rt></ruby>は <ruby>冷<rt>つめ</rt></ruby>たかったよ。,The reaction from the public was cold.
丘<div class="hint">hill</div>,おか,hill,<ruby>丘<rt>おか</rt></ruby>の <ruby>上<rt>うえ</rt></ruby>にホテルが <ruby>建<rt>た</rt></ruby>ちましたね。,A hotel was built on top of the hill.
両替<div class="hint">money exchange</div>,りょうがえ,money exchange,１ <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby>を <ruby>両替<rt>りょうがえ</rt></ruby>してください。,I'd like to exchange 10;000 yen.
中古<div class="hint">used; second-hand</div>,ちゅうこ,used; second-hand,その <ruby>車<rt>くるま</rt></ruby>は <ruby>中古<rt>ちゅうこ</rt></ruby>で <ruby>買<rt>か</rt></ruby>ったんだ。,I bought the car secondhand.
中央<div class="hint">centre; middle; capitol</div>,ちゅうおう,centre; middle; capitol,その <ruby>公園<rt>こうえん</rt></ruby>は <ruby>町<rt>まち</rt></ruby>のほぼ <ruby>中央<rt>ちゅうおう</rt></ruby>に <ruby>位置<rt>いち</rt></ruby>するんだ。,The park is located almost in the center of the town.
中学<div class="hint">middle school</div>,ちゅうがく,middle school,<ruby>息子<rt>むすこ</rt></ruby>は <ruby>中学<rt>ちゅうがく</rt></ruby>に <ruby>通<rt>かよ</rt></ruby>っています。,My son goes to junior high.
中心<div class="hint">center; middle; core</div>,ちゅうしん,center; middle; core,ここが <ruby>建物<rt>たてもの</rt></ruby>の <ruby>中心<rt>ちゅうしん</rt></ruby>です。,This is the center of the building.
中止<div class="hint">suspension; interruption</div>,ちゅうし,suspension; interruption,<ruby>雨<rt>あめ</rt></ruby>で <ruby>運動会<rt>うんどうかい</rt></ruby>が <ruby>中止<rt>ちゅうし</rt></ruby>になったの。,The sports day has been canceled due to the rain.
丸<div class="hint">circle</div>,まる,circle,<ruby>紙<rt>かみ</rt></ruby>に <ruby>大<rt>おお</rt></ruby>きな <ruby>丸<rt>まる</rt></ruby>を <ruby>描<rt>か</rt></ruby>きました。,I drew a big circle on the paper.
主に<div class="hint">mainly</div>,おもに,mainly,この <ruby>商品<rt>しょうひん</rt></ruby>は <ruby>主<rt>おも</rt></ruby>に <ruby>女性<rt>じょせい</rt></ruby>に <ruby>人気<rt>にんき</rt></ruby>がありまして。,This product is predominantly popular among women.
主婦<div class="hint">housewife</div>,しゅふ,housewife,<ruby>主婦<rt>しゅふ</rt></ruby>の <ruby>主<rt>おも</rt></ruby>な <ruby>仕事<rt>しごと</rt></ruby>は <ruby>家事<rt>かじ</rt></ruby>よ。,The main task of a housewife is housework.
主張<div class="hint">claim; assertion</div>,しゅちょう,claim; assertion,<ruby>上司<rt>じょうし</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>主張<rt>しゅちょう</rt></ruby>を <ruby>受<rt>う</rt></ruby>け <ruby>入<rt>い</rt></ruby>れた。,My boss accepted my claim.
主義<div class="hint">doctrine; rule</div>,しゅぎ,doctrine; rule,<ruby>私<rt>わたし</rt></ruby>は <ruby>車<rt>くるま</rt></ruby>は <ruby>持<rt>も</rt></ruby>たない <ruby>主義<rt>しゅぎ</rt></ruby>です。,I do not have a car on principle.
主要<div class="hint">main; principal</div>,しゅよう,main; principal,ＩＴ <ruby>産業<rt>さんぎょう</rt></ruby>はインドの <ruby>主要<rt>しゅよう</rt></ruby> <ruby>産業<rt>さんぎょう</rt></ruby>よね。,IT is a major industry in India.
乗せる<div class="hint">to place on (something)</div>,のせる,to place on (something),,
乗客<div class="hint">passenger</div>,じょうきゃく,passenger,<ruby>乗客<rt>じょうきゃく</rt></ruby>の <ruby>一人<rt>ひとり</rt></ruby>の <ruby>具合<rt>ぐあい</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>くなったの。,One of the passengers fell sick.
予報<div class="hint">forecast; prediction</div>,よほう,forecast; prediction,<ruby>予報<rt>よほう</rt></ruby>では <ruby>明日<rt>あした</rt></ruby>は <ruby>雨<rt>あめ</rt></ruby>ですね。,It will rain tomorrow according to the forecast.
予期<div class="hint">expectation; assumption</div>,よき,expectation; assumption,その <ruby>試合<rt>しあい</rt></ruby>は <ruby>予期<rt>よき</rt></ruby>した <ruby>通<rt>とお</rt></ruby>りの <ruby>結果<rt>けっか</rt></ruby>になった。,The result of the match was as expected.
予測<div class="hint">estimation</div>,よそく,estimation,,
予防<div class="hint">prevention</div>,よぼう,prevention,<ruby>虫歯<rt>むしば</rt></ruby>は <ruby>予防<rt>よぼう</rt></ruby>できます。,Cavities can be prevented.
事務<div class="hint">office work</div>,じむ,office work,<ruby>事務<rt>じむ</rt></ruby>の <ruby>経験<rt>けいけん</rt></ruby>が３ <ruby>年<rt>ねん</rt></ruby>あります。,I have three years experience in clerical work.
事実<div class="hint">fact; reality</div>,じじつ,fact; reality,それは <ruby>全<rt>すべ</rt></ruby>て <ruby>事実<rt>じじつ</rt></ruby>ですか。,Is it all true?
事情<div class="hint">circumstances</div>,じじょう,circumstances,あなたの <ruby>事情<rt>じじょう</rt></ruby>はよく <ruby>分<rt>わ</rt></ruby>かりました。,I understand your situation well.
事態<div class="hint">situation</div>,じたい,situation,<ruby>事態<rt>じたい</rt></ruby>は <ruby>深刻<rt>しんこく</rt></ruby>です。,The situation is serious.
お互い<div class="hint">mutual; reciprocal</div>,おたがい,mutual; reciprocal,お <ruby>互<rt>たが</rt></ruby>いを <ruby>信頼<rt>しんらい</rt></ruby>することが <ruby>大事<rt>だいじ</rt></ruby>です。,It is important to trust each other.
交換<div class="hint">exchange; substitution</div>,こうかん,exchange; substitution,<ruby>試合<rt>しあい</rt></ruby>の <ruby>相手<rt>あいて</rt></ruby>とユニフォームを <ruby>交換<rt>こうかん</rt></ruby>したよ。,We exchanged uniforms with the opposing team at the match.
交際<div class="hint">company; friendship</div>,こうさい,company; friendship,<ruby>彼<rt>かれ</rt></ruby>はモデルと <ruby>交際<rt>こうさい</rt></ruby>していたんだ。,He was dating a model.
人工<div class="hint">artificial; man-made</div>,じんこう,artificial; man-made,これは <ruby>人工<rt>じんこう</rt></ruby>の <ruby>湖<rt>みずうみ</rt></ruby>です。,This is an artificial lake.
人気<div class="hint">popularity</div>,にんき,popularity,このバンドはとても <ruby>人気<rt>にんき</rt></ruby>があるよ。,That band is very popular.
人物<div class="hint">person</div>,じんぶつ,person,<ruby>彼<rt>かれ</rt></ruby>は <ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>人物<rt>じんぶつ</rt></ruby>です。,He is an important person in the company.
人種<div class="hint">race (of people)</div>,じんしゅ,race (of people),この <ruby>国<rt>くに</rt></ruby>にはさまざまな <ruby>人種<rt>じんしゅ</rt></ruby>がいます。,There are many different racial groups in this country.
今に<div class="hint">before long; even now</div>,いまに,before long; even now,あなたも <ruby>今<rt>いま</rt></ruby>に <ruby>分<rt>わ</rt></ruby>かるでしょう。,Someday you will understand it.
今にも<div class="hint">at any time</div>,いまにも,at any time,<ruby>今<rt>いま</rt></ruby>にも <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>りそうですね。,It looks like it's going to rain at any moment.
今回<div class="hint">this time</div>,こんかい,this time,まあ <ruby>今回<rt>こんかい</rt></ruby>は <ruby>許<rt>ゆる</rt></ruby>してあげよう。,Well; I'll let you off this time.
今後<div class="hint">from now on</div>,こんご,from now on,<ruby>今後<rt>こんご</rt></ruby>ともよろしくお <ruby>願<rt>ねが</rt></ruby>いします。,I look forward to working with you in the future.
他人<div class="hint">another person; others</div>,たにん,another person; others,<ruby>私<rt>わたし</rt></ruby>は <ruby>他人<rt>たにん</rt></ruby>に <ruby>住所<rt>じゅうしょ</rt></ruby>を <ruby>教<rt>おし</rt></ruby>えたくない。,I don't want to tell my address to other people.
代理<div class="hint">proxy; agent</div>,だいり,proxy; agent,<ruby>私<rt>わたし</rt></ruby>は <ruby>社長<rt>しゃちょう</rt></ruby>の <ruby>代理<rt>だいり</rt></ruby>でその <ruby>会議<rt>かいぎ</rt></ruby>に <ruby>出<rt>で</rt></ruby>た。,I attended the conference in place of the president.
代表<div class="hint">representative</div>,だいひょう,representative,<ruby>彼<rt>かれ</rt></ruby>がクラスの <ruby>代表<rt>だいひょう</rt></ruby>だ。,He's the class representative.
代金<div class="hint">cost; charge; bill; fee</div>,だいきん,cost; charge; bill; fee,ここで <ruby>代金<rt>だいきん</rt></ruby>をお <ruby>支払<rt>しはら</rt></ruby>いください。,Please pay the fee here.
以来<div class="hint">henceforth</div>,いらい,henceforth,それ <ruby>以来<rt>いらい</rt></ruby> <ruby>彼女<rt>かのじょ</rt></ruby>に <ruby>会<rt>あ</rt></ruby>ってない。,I haven't met her since then.
仲間<div class="hint">associate; comrade</div>,なかま,associate; comrade,<ruby>彼<rt>かれ</rt></ruby>には <ruby>仲間<rt>なかま</rt></ruby>がたくさんいる。,He has a lot of peers.
任せる<div class="hint">to entrust (e.g. a task) to another; to leave to</div>,まかせる,to entrust (e.g. a task) to another; to leave to,この <ruby>仕事<rt>しごと</rt></ruby>は <ruby>君<rt>きみ</rt></ruby>に <ruby>任<rt>まか</rt></ruby>せる。,I'm leaving this work up to you.
企業<div class="hint">corporation; business</div>,きぎょう,corporation; business,<ruby>彼女<rt>かのじょ</rt></ruby>はアメリカの <ruby>企業<rt>きぎょう</rt></ruby>で <ruby>働<rt>はたら</rt></ruby>いています。,She works at an American company.
会合<div class="hint">assembly; gathering</div>,かいごう,assembly; gathering,<ruby>会合<rt>かいごう</rt></ruby>で <ruby>活発<rt>かっぱつ</rt></ruby>な <ruby>意見<rt>いけん</rt></ruby>が <ruby>交<rt>か</rt></ruby>わされた。,At the meeting; there was a lively exchange of opinions.
会計<div class="hint">accounting; finance</div>,かいけい,accounting; finance,<ruby>会計<rt>かいけい</rt></ruby>を <ruby>済<rt>す</rt></ruby>ませて <ruby>店<rt>みせ</rt></ruby>を <ruby>出<rt>で</rt></ruby>たんだ。,I paid the bill and then left the store.
伸ばす<div class="hint">to grow (e.g. hair; nails); to stretch; to reach out</div>,のばす,to grow (e.g. hair; nails); to stretch; to reach out,ストレッチで <ruby>筋肉<rt>きんにく</rt></ruby>を <ruby>伸<rt>の</rt></ruby>ばしましょう。,Let's stretch our muscles with exercises.
伺う<div class="hint">(hum) to ask; to inquire | (hum) to visit</div>,うかがう,(hum) to ask; to inquire | (hum) to visit,お <ruby>話<rt>はな</rt></ruby>しを <ruby>伺<rt>うかが</rt></ruby>いたいのですが。,I want to hear your story.
位<div class="hint">about</div>,くらい,about,<ruby>位<rt>くらい</rt></ruby>が <ruby>上<rt>あ</rt></ruby>がれば <ruby>責任<rt>せきにん</rt></ruby>も <ruby>増<rt>ふ</rt></ruby>えるものだ。,The higher your ranks are; the higher your level of responsibility gets.
位置<div class="hint">place; position</div>,いち,place; position,<ruby>私<rt>わたし</rt></ruby>の <ruby>町<rt>まち</rt></ruby>は <ruby>東京<rt>とうきょう</rt></ruby>の <ruby>北<rt>きた</rt></ruby>に <ruby>位置<rt>いち</rt></ruby>します。,My town is located north of Tokyo.
住宅<div class="hint">residence; housing</div>,じゅうたく,residence; housing,ここは <ruby>静<rt>しず</rt></ruby>かな <ruby>住宅<rt>じゅうたく</rt></ruby> <ruby>地<rt>ち</rt></ruby>だ。,This is a quiet residential area.
体温<div class="hint">body temperature</div>,たいおん,body temperature,<ruby>今朝<rt>けさ</rt></ruby>の <ruby>体温<rt>たいおん</rt></ruby>は３６ <ruby>度<rt>ど</rt></ruby>でした。,My temperature this morning was 36 degrees.
体育<div class="hint">physical education</div>,たいいく,physical education,<ruby>今日<rt>きょう</rt></ruby>は <ruby>体育<rt>たいいく</rt></ruby>の <ruby>授業<rt>じゅぎょう</rt></ruby>があります。,There's a PE class today.
余分<div class="hint">extra; excess</div>,よぶん,extra; excess,<ruby>食事<rt>しょくじ</rt></ruby>は <ruby>余分<rt>よぶん</rt></ruby>に <ruby>用意<rt>ようい</rt></ruby>してあります。,I've prepared some extra portions of the meal.
余裕<div class="hint">surplus; leeway; flexibility</div>,よゆう,surplus; leeway; flexibility,<ruby>出発<rt>しゅっぱつ</rt></ruby>まで <ruby>時間<rt>じかん</rt></ruby>の <ruby>余裕<rt>よゆう</rt></ruby>があります。,We have plenty of time before departure.
作家<div class="hint">author</div>,さっか,author,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>有名<rt>ゆうめい</rt></ruby>な <ruby>作家<rt>さっか</rt></ruby>です。,She is a well-known writer.
作曲<div class="hint">composition (of music)</div>,さっきょく,composition (of music),この <ruby>曲<rt>きょく</rt></ruby>は <ruby>誰<rt>だれ</rt></ruby>が <ruby>作曲<rt>さっきょく</rt></ruby>したのですか。,Who composed this piece of music?
作法<div class="hint">manners; etiquette</div>,さほう,manners; etiquette,,
作物<div class="hint">crops</div>,さくもつ,crops,<ruby>米<rt>こめ</rt></ruby>はアジアでは <ruby>大切<rt>たいせつ</rt></ruby>な <ruby>作物<rt>さくもつ</rt></ruby>だ。,Rice is an important crop in Asia.
使用<div class="hint">use</div>,しよう,use,この <ruby>製品<rt>せいひん</rt></ruby>を <ruby>使用<rt>しよう</rt></ruby>する <ruby>前<rt>まえ</rt></ruby>に、 <ruby>説明<rt>せつめい</rt></ruby> <ruby>書<rt>しょ</rt></ruby>をお <ruby>読<rt>よ</rt></ruby>みください。,Please read the manual before using this product.
例<div class="hint">example</div>,れい,example,<ruby>一<rt>ひと</rt></ruby>つ <ruby>例<rt>れい</rt></ruby>をあげてください。,Please give an example.
供給<div class="hint">supply; provision</div>,きょうきゅう,supply; provision,<ruby>彼<rt>かれ</rt></ruby>の <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>電力<rt>でんりょく</rt></ruby>を <ruby>供給<rt>きょうきゅう</rt></ruby>しています。,His company supplies electricity.
依頼<div class="hint">request; commission</div>,いらい,request; commission,<ruby>彼<rt>かれ</rt></ruby>に <ruby>協力<rt>きょうりょく</rt></ruby>を <ruby>依頼<rt>いらい</rt></ruby>しました。,I requested his cooperation.
価値<div class="hint">value; worth</div>,かち,value; worth,とても <ruby>価値<rt>かち</rt></ruby>のある <ruby>話<rt>はなし</rt></ruby>を <ruby>聞<rt>き</rt></ruby>いたよ。,I heard a very valuable story.
価格<div class="hint">price; value</div>,かかく,price; value,ガソリンの <ruby>価格<rt>かかく</rt></ruby>がどんどん <ruby>上<rt>あ</rt></ruby>がっている。,The price of gasoline keeps going up fast.
便<div class="hint">flight (e.g. airline flight)</div>,びん,flight (e.g. airline flight),,
便り<div class="hint">news; tidings; letter</div>,たより,news; tidings; letter,<ruby>月<rt>つき</rt></ruby>に <ruby>一<rt>いち</rt></ruby> <ruby>度<rt>ど</rt></ruby>、 <ruby>母<rt>はは</rt></ruby>から <ruby>便<rt>たよ</rt></ruby>りがきます。,I get a letter from my mother once a month.
係<div class="hint">person in charge; clerk</div>,かかり,person in charge; clerk,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>会場<rt>かいじょう</rt></ruby> <ruby>整理<rt>せいり</rt></ruby>の <ruby>係<rt>かかり</rt></ruby>だったの。,She was in charge of the hall arrangement.
保証<div class="hint">guarantee; warranty</div>,ほしょう,guarantee; warranty,この <ruby>製品<rt>せいひん</rt></ruby>の <ruby>保証<rt>ほしょう</rt></ruby> <ruby>期間<rt>きかん</rt></ruby>は５ <ruby>年間<rt>ねんかん</rt></ruby>となっております。,The guarantee period of this product is five years.
信じる<div class="hint">to believe; to place trust in</div>,しんじる,to believe; to place trust in,<ruby>彼<rt>かれ</rt></ruby>はキリストを <ruby>信<rt>しん</rt></ruby>じている。,He believes in Jesus Christ.
信仰<div class="hint">(religious) faith; belief</div>,しんこう,(religious) faith; belief,<ruby>信仰<rt>しんこう</rt></ruby>は <ruby>心<rt>こころ</rt></ruby>の <ruby>支<rt>ささ</rt></ruby>えです。,Faith uplifts one's spirit.
信号<div class="hint">traffic signal</div>,しんごう,traffic signal,<ruby>信号<rt>しんごう</rt></ruby>が <ruby>青<rt>あお</rt></ruby>になった。,The traffic light turned green.
信用<div class="hint">confidence; trust</div>,しんよう,confidence; trust,<ruby>彼<rt>かれ</rt></ruby>の <ruby>言<rt>い</rt></ruby>うことは <ruby>信用<rt>しんよう</rt></ruby>できない。,I can't trust what he says.
修正<div class="hint">amendment; correction; revision</div>,しゅうせい,amendment; correction; revision,<ruby>検討<rt>けんとう</rt></ruby>の <ruby>結果<rt>けっか</rt></ruby>、 <ruby>案<rt>あん</rt></ruby>を <ruby>修正<rt>しゅうせい</rt></ruby>したよ。,We revised the plan after consideration.
修理<div class="hint">repair</div>,しゅうり,repair,<ruby>車<rt>くるま</rt></ruby>を <ruby>修理<rt>しゅうり</rt></ruby>に <ruby>出<rt>だ</rt></ruby>した。,I sent my car for repair.
個人<div class="hint">individual; personal</div>,こじん,individual; personal,これは <ruby>私<rt>わたし</rt></ruby> <ruby>個人<rt>こじん</rt></ruby>の <ruby>意見<rt>いけん</rt></ruby>です。,This is my personal opinion.
倒す<div class="hint">to knock down; to ruin</div>,たおす,to knock down; to ruin,そのスキーヤーはポールを <ruby>倒<rt>たお</rt></ruby>した。,The skier knocked the pole down.
候補<div class="hint">candidate; contender</div>,こうほ,candidate; contender,<ruby>会長<rt>かいちょう</rt></ruby>の <ruby>候補<rt>こうほ</rt></ruby>は３ <ruby>人<rt>にん</rt></ruby>います。,There are three candidates for chairperson.
借金<div class="hint">debt; loan</div>,しゃっきん,debt; loan,<ruby>彼<rt>かれ</rt></ruby>は <ruby>友達<rt>ともだち</rt></ruby>に <ruby>借金<rt>しゃっきん</rt></ruby>をしたんだ。,He borrowed money from his friend.
偉大<div class="hint">greatness</div>,いだい,greatness,<ruby>彼<rt>かれ</rt></ruby>は <ruby>偉大<rt>いだい</rt></ruby>な <ruby>事業<rt>じぎょう</rt></ruby>を <ruby>成<rt>な</rt></ruby>し <ruby>遂<rt>と</rt></ruby>げました。,He accomplished a great project.
健康<div class="hint">health</div>,けんこう,health,<ruby>私<rt>わたし</rt></ruby>は <ruby>健康<rt>けんこう</rt></ruby>な <ruby>生活<rt>せいかつ</rt></ruby>を <ruby>送<rt>おく</rt></ruby>っています。,I'm living a healthy lifestyle.
たまたま<div class="hint">casually; unexpectedly</div>,たまたま,casually; unexpectedly,<ruby>道<rt>みち</rt></ruby>でたまたま <ruby>友達<rt>ともだち</rt></ruby>に <ruby>会<rt>あ</rt></ruby>った。,I ran into a friend of mine on the street.
偶然<div class="hint">coincidence</div>,ぐうぜん,coincidence,<ruby>街<rt>まち</rt></ruby>で <ruby>偶然<rt>ぐうぜん</rt></ruby> <ruby>友人<rt>ゆうじん</rt></ruby>に <ruby>会<rt>あ</rt></ruby>いました。,I ran into a friend of mine in the town.
備える<div class="hint">to furnish with; to equip with</div>,そなえる,to furnish with; to equip with,<ruby>災害<rt>さいがい</rt></ruby>に <ruby>備<rt>そな</rt></ruby>えて <ruby>大量<rt>たいりょう</rt></ruby>の <ruby>水<rt>みず</rt></ruby>を <ruby>買<rt>か</rt></ruby>い <ruby>込<rt>こ</rt></ruby>んだ。,I bought a large quantity of water to prepare for disasters.
傷<div class="hint">wound; injury</div>,きず,wound; injury,<ruby>足<rt>あし</rt></ruby>の <ruby>傷<rt>きず</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>みます。,The wound in my foot hurts.
傾向<div class="hint">tendency; inclination</div>,けいこう,tendency; inclination,<ruby>最近<rt>さいきん</rt></ruby>の <ruby>若者<rt>わかもの</rt></ruby>は <ruby>難<rt>むずか</rt></ruby>しい <ruby>本<rt>ほん</rt></ruby>を <ruby>読<rt>よ</rt></ruby>まない <ruby>傾向<rt>けいこう</rt></ruby>がある。,Young people these days tend not to read difficult books.
わずか<div class="hint">only; merely; small quantity</div>,わずか,only; merely; small quantity,<ruby>彼<rt>かれ</rt></ruby>はわずかな <ruby>貯金<rt>ちょきん</rt></ruby>で <ruby>暮<rt>く</rt></ruby>らしている。,He lives on his meager savings.
働き<div class="hint">work; labor</div>,はたらき,work; labor,<ruby>部下<rt>ぶか</rt></ruby>がすばらしい <ruby>働<rt>はたら</rt></ruby>きをしたな。,My subordinates did a great job.
優れる<div class="hint">to surpass; to excel</div>,すぐれる,to surpass; to excel,<ruby>彼<rt>かれ</rt></ruby>は <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>優<rt>すぐ</rt></ruby>れた <ruby>選手<rt>せんしゅ</rt></ruby>です。,He is an excellent athlete.
元<div class="hint">origin; source; foundation</div>,もと,origin; source; foundation,あの <ruby>人<rt>ひと</rt></ruby>は <ruby>卓球<rt>たっきゅう</rt></ruby>の <ruby>元<rt>もと</rt></ruby> <ruby>選手<rt>せんしゅ</rt></ruby>です。,That person is a former table tennis player.
光景<div class="hint">scene; view</div>,こうけい,scene; view,<ruby>驚<rt>おどろ</rt></ruby>くような <ruby>光景<rt>こうけい</rt></ruby>が <ruby>目<rt>め</rt></ruby>に <ruby>入<rt>はい</rt></ruby>った。,An amazing spectacle caught my eye.
